Round,Player1,Player2
Cycle1
Round1,Head,Head
Round2,Head,Head
Round3,Tail,Tail
Round4,Head,Head
Round5,Head,Head
Round6,Tail,Head
Round7,Tail,Head
Round8,Tail,Head
Round9,Head,Head
Round10,Tail,Head
Cycle2
Round1,Head,Head
Round2,Tail,Tail
Round3,Head,Tail
Round4,Head,Tail
Round5,Tail,Head
Round6,Head,Head
Round7,Head,Head
Round8,Head,Head
Round9,Tail,Head
Round10,Head,Tail
Cycle3
Round1,Tail,Head
Round2,Head,Head
Round3,Head,Tail
Round4,Tail,Tail
Round5,Tail,Tail
Round6,Head,Head
Round7,Head,Tail
Round8,Head,Tail
Round9,Head,Tail
Round10,Head,Tail
